Classifier,Best Score,Best Parameters,Accuracy,Precision,Recall,F1 Score,Training Time (s),Test Evaluation Time (s)
NaiveBayes,0.7848263408873392,{'clf__alpha': 0.5},0.786362912219213,0.8004851792477231,0.786362912219213,0.7907747177834692,10.183955907821655,0.32311129570007324
RandomForest,0.8155565598956731,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 700}",0.8153576549306993,0.8180725084096024,0.8153576549306993,0.8156115280724479,558.3904025554657,1.4749336242675781
LogisticRegression,0.8018303399022774,"{'clf__C': 1, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.8070734427274175,0.8172049899790359,0.8070734427274175,0.8106430413042396,862.6130073070526,0.3450338840484619
SVC,0.8254576665976376,"{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'}",0.8285805321013223,0.8265731440753454,0.8285805321013223,0.8260485729840259,4648.38712978363,34.61778211593628
DT,0.692502080196714,{'clf__max_depth': 20},0.6958738250756731,0.7081955685267892,0.6958738250756731,0.7009878061499751,35.209893465042114,0.33368539810180664
